ID,official_name,type,text_subchapters,illustrations,synonyms,Label
ID196,Tlaco-xilo-xochitl,plant,05h; 06b; 09d,,,Tlaco/half or middle; Xochitl/flower
ID197,Tla-cuilol-quahuitl,plant,,p069_01,tlah-cuilol quahuitl,Quahuitl/tree or wood; Tla/thing or something
ID198,Tlal-ahuehuetl,plant,01b; 09j; 09m; 09n; 12a,,,Tlal/earth or ground
ID200,Tlal-ecapatli,plant,08j; 09e; 09q,,,Ecatl/wind; Tlal/earth or ground
ID202,Tlal-mizquitl,plant,06e; 12a,,,Misquitl/mesquite; Tlal/earth or ground
ID203,Tlal-patli,plant,09m,,,Patli/medicine; Tlal/earth or ground
ID204,Tlal-quequetzal,plant,06d; 09d,,,"Quetzal/precious, feathered, or green; Tlal/earth or ground"
ID205,Tla-nen-popoloua,plant,09l,,tlanen-popoloa,Tla/thing or something
ID207,Tlanextia-yxiuh,plant,09h; 10d,,tlanexti-yxiuh,"Tlanextia/to shine light; Xihuitl/herbs, green leaves"
ID208,Tlanextia xiuhtontli,plant,05d; 05f; 05i; 07l; 07m; 11a,p029_01,tlanexti; tlanexti-xiuhtontli; tlanextia,"Tlanextia/to shine light; Xihuitl/herbs, green leaves"
ID209,Tlanextia quahuitl,plant,07l; 09b,p069_03,tlanexti-quahuitl; tlanextia-quahuitl,Quahuitl/tree or wood; Tlanextia/to shine light
ID211,Tlapal-achiyotl,plant,09d,,,NA
ID212,Tlapol-cacahuatl,plant,08l,p068_02,tlapal-cacahuatl,NA
ID213,Tlaquilin,plant,03a; 09i; 09m,p022_03,,NA
ID214,Tlatlacotic,plant,06c; 07a; 09q; 10a; 10e,,,NA
ID215,Tlatlanquaye,plant,01b; 03a; 05i; 06a; 07f; 07i; 07l; 08k; 09a; 09f; 09g; 09h; 09i; 09m; 09n; 09q; 12a,p034_01; p073_02,tlatlan-quaye,NA
ID217,Tlatlaolton,plant,07b; 08k,,,NA
ID220,Tla-yapaloni,plant,01b; 09f; 09n; 12a,p008_02,tlayapaloni,Tla/thing or something
ID221,Tlazol-patli,plant,02g; 09b,p020_01,azcapan-ixua-tlazol-patli,Patli/medicine; Tlazol/filth
ID222,Tlazol-teo-zacatl,plant,09b; 09f,p080_01,tlazo-teo-zacatl; tlazolco-zacatl,Teo/divine; Tlazol/filth; Zacatl/grass
ID224,Tlil-xochitl,plant,10k,p104_02,,Xochitl/flower
ID225,Tzacouh-xochitl,plant,10d,,,Xochitl/flower
ID226,Tzayanal-quilitl,plant,09e,p079_03,,Quilitl/edible green
ID227,Tzihuac-copalli,plant,09l,,,Copalli/incense
ID228,A-tzitzicaztli,plant,,p026_01,,Atl/water
ID229,Colo-tzitzicaztli,plant,09k,,,NA
ID233,Tzitzicton,plant,07b; 08h,p064_02,,NA
ID234,Tzon-pachtzin,plant,09b,,tzom-pachtin,Tzon/hair
ID235,Tzonpilihuiz-patli,plant,06h,,,Patli/medicine; Tzon/hair
