ID,official_name,type,subchapter_code,language,synonym_found,morphemes,illustrations,master_sheet_subchapters_linked
ID054,Iztauyattl,plant,08e,english,iztauh-yatl,Acatl/reed; Iztac/white,nan,06i; 08e; 08j; 08k; 09e; 09q; 10i
ID054,Iztauyattl,plant,08e,spanish,iztauh-yatl,Acatl/reed; Iztac/white,nan,06i; 08e; 08j; 08k; 09e; 09q; 10i
ID054,Iztauyattl,plant,08j,english,iztauh-yatl,Acatl/reed; Iztac/white,nan,06i; 08e; 08j; 08k; 09e; 09q; 10i
ID054,Iztauyattl,plant,08j,spanish,iztauh-yatl,Acatl/reed; Iztac/white,nan,06i; 08e; 08j; 08k; 09e; 09q; 10i
ID054,Iztauyattl,plant,08k,english,iztauh-yatl,Acatl/reed; Iztac/white,nan,06i; 08e; 08j; 08k; 09e; 09q; 10i
ID054,Iztauyattl,plant,08k,spanish,iztauh-yatl,Acatl/reed; Iztac/white,nan,06i; 08e; 08j; 08k; 09e; 09q; 10i
ID054,Iztauyattl,plant,09e,english,iztauhyauh,Acatl/reed; Iztac/white,nan,06i; 08e; 08j; 08k; 09e; 09q; 10i
ID054,Iztauyattl,plant,09e,spanish,iztauhyauh,Acatl/reed; Iztac/white,nan,06i; 08e; 08j; 08k; 09e; 09q; 10i
ID054,Iztauyattl,plant,09q,english,iztauh-yatl,Acatl/reed; Iztac/white,nan,06i; 08e; 08j; 08k; 09e; 09q; 10i
ID054,Iztauyattl,plant,09q,spanish,iztauh-yatl,Acatl/reed; Iztac/white,nan,06i; 08e; 08j; 08k; 09e; 09q; 10i
ID054,Iztauyattl,plant,10i,english,iztauhyatl,Acatl/reed; Iztac/white,nan,06i; 08e; 08j; 08k; 09e; 09q; 10i
ID054,Iztauyattl,plant,10i,spanish,iztauhyatl,Acatl/reed; Iztac/white,nan,06i; 08e; 08j; 08k; 09e; 09q; 10i
ID055,Y-yauhtli,plant,06a,english,yyauhtli,Yauhtli/medicinal marigold,nan,06a
ID055,Y-yauhtli,plant,06a,spanish,yyauhtli,Yauhtli/medicinal marigold,nan,06a
